Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Dominican Republic,6457.587,6167.894,6340.243,7913.386,7444.01,7293.663,8181.077,9754.22,9834.894,10366.609,9229.839,10043.913,10923.993,11763.736,12475.134,15885.444,17326.575,18001.303,18397.339,18562.354,19790.799,19816.468,21330.939,21514.289,18309.331,18639.361,19783.465,21173.258,20711.216,20227.172,21022.911,21228.263,22123.011,21440.949,21539.958
Algeria,66519.38,46438.888,39269.903,52625.117,71103.13,72786.283,76277.267,84120.98,83948.631,80046.943,76970.33,79049.519,80138.618,82210.473,86416.522,95294.329,97098.493,87340.606,106999.393,92045.367,87861.32,84219.989,89907.506,91575.991,88510.379,107278.085,101069.854,109404.945,110208.018,121399.702,119177.5,121187.016,129987.816,134465.223,145400.217
Ecuador,13443.222,16692.184,19288.42,19556.111,21257.599,19431.433,15276.722,15115.374,17271.57,20267.509,16827.863,16497.833,22280.692,24205.867,13652.241,22841.743,24191.199,18360.669,22460.375,21495.954,20718.55,23116.768,24950.268,26967.118,29046.307,30263.751,28859.29,31888.232,33868.412,36068.612,36460.981,38609.843,38140.467,40997.06,43919.659
"Egypt, Arab Rep.",45239.779,50978.634,56523.138,57091.523,63838.803,63937.812,74564.778,74810.467,74531.775,72181.228,75943.57,78715.822,81264.387,93156.468,85312.755,95723.368,102030.608,108202.169,122243.112,125393.065,141326.18,125451.737,127193.562,147963.45,150911.718,167207.866,178586.567,189092.522,198586.385,206734.459,202715.427,217163.407,217068.065,213412.066,201894.019
Spain,215003.544,207288.176,209906.414,204867.956,198953.085,201233.959,190467.647,190878.351,199033.759,226671.938,218597.204,225634.177,233921.597,219253.597,233404.55,241611.296,233305.541,252073.247,261541.441,282355.333,294434.431,297830.073,314518.59,321097.188,339428.521,353462.13,350037.152,358236.564,329285.599,288237.201,270910.626,270547.593,264779.402,237034.88,233976.602
Ethiopia,1822.499,1866.503,1481.468,1844.501,1664.818,1815.165,2214.868,2581.568,2673.243,2827.257,3017.941,2984.938,2966.603,3028.942,2240.537,2563.233,2860.26,3050.944,3219.626,3157.287,3549.656,4352.729,4521.411,4987.12,5295.148,5119.132,5504.167,6013.88,6578.598,6629.936,6585.932,7726.369,8562.445,10634.3,11598.721
Finland,58246.628,51510.349,43083.583,41576.446,42254.841,49665.848,53329.181,57656.241,52185.077,52584.78,51745.037,53699.548,47472.982,50402.915,57223.535,52713.125,61282.904,59933.448,56988.847,55423.038,52427.099,57051.186,61682.607,69130.284,67091.432,54645.634,66200.351,63985.483,56519.471,53149.498,62082.31,56816.498,49134.133,47219.959,47300.633
Fiji,795.739,1081.765,839.743,715.065,583.053,579.386,605.055,476.71,553.717,630.724,814.074,671.061,748.068,751.735,748.068,762.736,821.408,792.072,770.07,784.738,843.41,1056.096,891.081,1048.762,1353.123,1096.433,1217.444,1158.772,894.748,792.072,1221.111,1089.099,1059.763,1151.438,1169.773
France,505363.938,454700.666,436893.714,422603.415,405342.846,400880.107,385614.386,377491.981,372207.834,390649.177,375691.484,390689.514,365893.26,359916.05,338119.402,349160.739,375306.449,351562.624,377444.31,368918.535,362226.26,377535.985,375075.428,380689.605,383758.884,385368.697,375764.824,369142.222,366325.966,351899.988,353033.091,331804.828,333227.624,334096.703,303275.568
Faroe Islands,421.705,440.04,458.375,487.711,498.712,517.047,491.378,498.712,528.048,579.386,711.398,667.394,649.059,583.053,575.719,572.052,601.388,590.387,623.39,630.724,689.396,762.736,726.066,733.4,748.068,722.399,678.395,689.396,630.724,575.719,630.724,568.385,590.387,678.395,597.721
Gabon,6633.603,6574.931,6556.596,5518.835,5995.545,6318.241,4968.785,4022.699,4334.394,5771.858,4499.409,4536.079,4932.115,4990.787,4389.399,4624.087,4774.434,4796.436,4979.786,4807.437,4693.76,4800.103,4572.749,4642.422,4686.426,4888.111,4173.046,4118.041,4173.046,4250.053,4811.104,4972.452,5104.464,5280.48,5192.472
United Kingdom,579290.658,560819.979,548520.861,545741.275,529335.117,559855.558,568777.369,571868.65,570464.189,581721.879,555924.534,566830.192,556280.233,545711.939,546738.699,538117.582,551436.126,527343.936,531905.684,530937.596,541784.582,545862.286,528642.054,540006.087,539239.684,542580.321,541458.219,528425.701,520688.331,471719.213,493207.833,447828.708,468572.927,458250.322,419820.162
Ghana,2559.566,3047.277,3043.61,3655.999,2581.568,3325.969,3047.277,3285.632,3450.647,3344.304,3817.347,3934.691,3982.362,4547.08,4954.117,5276.813,5610.51,6365.912,6402.582,6549.262,6288.905,6919.629,7422.008,7631.027,7348.668,6992.969,9358.184,9827.56,9138.164,7708.034,9955.905,9831.227,11877.413,14620.329,14466.315
Gibraltar,88.008,51.338,22.002,36.67,33.003,44.004,40.337,47.671,69.673,69.673,143.013,198.018,234.688,238.355,282.359,275.025,282.359,293.36,308.028,319.029,333.697,344.698,348.365,355.699,385.035,399.703,418.038,414.371,425.372,462.042,465.709,451.041,462.042,491.378,528.048
Guinea,964.421,990.09,982.756,953.42,979.089,993.757,997.424,993.757,1026.76,1045.095,1004.758,1026.76,1059.763,1089.099,1250.447,1290.784,1364.124,1419.129,1503.47,1580.477,1642.816,1719.823,1804.164,1881.171,1943.51,1826.166,1892.172,1969.179,2189.199,2262.539,2603.57,2779.586,2581.568,2299.209,2449.556
"Gambia, The",157.681,157.681,161.348,161.348,172.349,172.349,161.348,179.683,183.35,179.683,176.016,179.683,179.683,187.017,187.017,198.018,198.018,198.018,212.686,231.021,245.689,253.023,289.693,289.693,293.36,293.36,308.028,352.032,366.7,381.368,432.706,447.374,454.708,432.706,513.38
Guinea-Bissau,146.68,143.013,143.013,143.013,161.348,172.349,183.35,194.351,216.353,231.021,172.349,176.016,179.683,183.35,183.35,183.35,183.35,201.685,172.349,194.351,146.68,150.347,154.014,194.351,201.685,212.686,216.353,231.021,227.354,234.688,238.355,245.689,253.023,256.69,271.358
Equatorial Guinea,58.672,69.673,73.34,62.339,80.674,66.006,80.674,99.009,106.343,117.344,66.006,143.013,157.681,99.009,33.003,128.345,113.677,289.693,165.015,465.709,454.708,3094.948,4979.786,6017.547,5218.141,4712.095,4756.099,4796.436,4503.076,4620.42,4679.092,6127.557,5115.465,5163.136,5346.486
Greece,51429.675,50721.944,52148.407,55544.049,57054.853,60600.842,59130.375,63472.103,67989.847,74183.41,74278.752,74062.399,75499.863,75712.549,77909.082,78781.828,80241.294,83717.61,87751.31,86636.542,91616.328,93805.527,93669.848,95738.036,97149.831,98675.303,97285.51,98246.264,95965.39,91942.691,83856.956,79841.591,80043.276,69482.316,67318.786
Grenada,47.671,58.672,62.339,62.339,62.339,62.339,66.006,73.34,95.342,102.676,106.343,110.01,117.344,121.011,143.013,150.347,154.014,168.682,176.016,194.351,190.684,194.351,205.352,216.353,205.352,216.353,231.021,238.355,253.023,253.023,260.357,253.023,271.358,304.361,242.022
Greenland,564.718,528.048,517.047,363.033,568.385,509.713,326.363,234.688,546.383,473.043,553.717,546.383,480.377,498.712,502.379,502.379,517.047,520.714,528.048,539.049,531.715,539.049,539.049,531.715,583.053,608.722,627.057,638.058,660.06,575.719,663.727,707.731,568.385,553.717,506.046
Guatemala,4510.41,3967.694,3626.663,3179.289,3421.311,3523.987,3700.003,3993.363,4125.375,4246.386,5086.129,5053.126,6017.547,5658.181,6838.955,7165.318,6651.938,7598.024,8753.129,8929.145,9915.568,10626.966,11096.342,10828.651,11620.723,12570.476,12647.483,12625.481,11430.039,11851.744,11664.727,11837.076,11972.755,13633.906,18327.666
